City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
256,Sinnamary,GF,79.39,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
257,Tuatapere,NZ,41.83,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
259,Marawi,PH,64.65,overcast clouds,7.9986,124.2928,Derogongan Residence
264,Makakilo City,US,73.29,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
266,Banikoara,BJ,87.73,few clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
269,Fortuna,US,44.94,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
272,Basoko,CD,83.26,scattered clouds,1.2391,23.616,Jackyna Hotel
273,Bengkulu,ID,77.13,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
274,Ribeira Grande,PT,63.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
278,Chiredzi,ZW,76.62,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
280,Orbetello,IT,51.8,overcast clouds,42.4408,11.2196,Argentario Golf Resort & Spa
281,Sur,OM,72.61,clear sky,22.5667,59.5289,Sur Plaza Hotel
282,Ancud,CL,80.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
283,Balikpapan,ID,77.99,broken clouds,-1.2675,116.8289,ibis Balikpapan
289,Moron,AR,79.95,few clouds,-34.6534,-58.6198,Hotel Morón
293,Sao Filipe,CV,76.64,scattered clouds,14.8961,-24.4956,Hotel Xaguate
296,Ulladulla,AU,61.88,overcast clouds,-35.35,150.4667,Sandpiper Motel
298,Nicoya,CR,89.15,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
299,Arraial Do Cabo,BR,82.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
300,Lamu,KE,79.02,scattered clouds,-2.2717,40.902,Lamu House
301,Valparaiso,CL,71.24,broken clouds,-33.0393,-71.6273,Hotel Ultramar
303,Pangai,TO,80.71,few clouds,-19.8,-174.35,Ha'apai Beach Resort
305,Lerwick,GB,42.8,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
309,Phibun Mangsahan,TH,76.98,overcast clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
312,Comodoro Rivadavia,AR,91.26,few clouds,-45.8667,-67.5,Austral Hotel
316,Limon,CR,82.29,broken clouds,10.0,-83.0333,Hotel Playa Bonita
317,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
318,Ahipara,NZ,63.5,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
319,Wad Madani,SD,80.1,scattered clouds,14.4012,33.5199,فندق يوغسلافيا
320,Yulara,AU,71.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
321,Kibala,TD,87.75,clear sky,9.1104,18.3463,hotel safari
322,Kilindoni,TZ,80.46,overcast clouds,-7.9139,39.6668,Bustani B&B
324,San Carlos,VE,96.35,scattered clouds,9.6612,-68.5827,Hotel Paternopoli
325,Kundiawa,PG,63.14,overcast clouds,-6.0167,144.9667,Pari
326,Honavar,IN,73.11,clear sky,14.2833,74.45,Hotel Sagar Residency
327,Kavieng,PG,80.62,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
329,Barillas,GT,79.14,overcast clouds,15.8036,-91.3158,Hotel y Restaurant Bella Estancia
332,Ginir,ET,63.86,broken clouds,7.1333,40.7,Sura Dare Village
334,Natal,BR,88.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
335,Hope,US,51.98,clear sky,33.6671,-93.5916,Best Western Hope
336,San Policarpo,PH,78.66,broken clouds,12.1791,125.5072,Agapita M. Nicart
337,Touros,BR,88.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
338,Manta,EC,80.38,broken clouds,-0.95,-80.7333,Balandra Hotel
339,Bartica,GY,82.72,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
340,Kahului,US,74.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
342,Sao Jose Da Coroa Grande,BR,85.14,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
344,Guerrero Negro,MX,75.07,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
346,Artesia,US,85.21,clear sky,33.8658,-118.0831,Days Inn & Suites by Wyndham Artesia
347,Hastings,GB,49.53,light rain,50.8552,0.5729,Zanzibar Hotel
348,Pathein,MM,64.49,broken clouds,16.7833,94.7333,New Pammawaddy Hotel
349,Saldanha,ZA,71.65,few clouds,-33.0117,17.9442,Blue Bay Lodge
350,Almeirim,BR,85.46,broken clouds,-1.5233,-52.5817,Ricácio Hotel
